Channel,Date,Product ID,Product name,Product category,Brand,All traffic,All impressions,Orders,Payment,Revenue,Product name_Map,Sponsored product name,Paid_Product category,Paid_Brand,Sponsored product ID,Ad spend,Sponsored revenue,Sponsored impressions,Sponsored traffic,Sponsored payment,Sponsored product name_Map,Order value,Like,Product page bounce count,All traffic from search,Year,Month,Day of the Week,Is Weekend,Quarter,Is Double Day,Is National Holiday,Is Lunar Tet,Is Seasonal Holiday
Shopee,2024-05-01,3988319582,"Combo giấy lọc Melitta 1x6 - Nhập khấu chính hãng 100% từ thương hiệu Melitta, Đức",6. Other Melitta products,Melitta,2,3,1,1,255100,"Combo giấy lọc Melitta 1x6 - Nhập khấu chính hãng 100% từ thương hiệu Melitta, Đức",,,,,,,,,,,255100,0,0,0,2024,5,2,0,2,0,1,0,1
Shopee,2024-05-01,5088478051,Không thể lấy thông tin sản phẩm do bị xóa,0. Other products,Others,1,1,0,0,0,Không thể lấy thông tin sản phẩm do bị xóa,,,,,,,,,,,0,0,0,0,2024,5,2,0,2,0,1,0,1
Shopee,2024-05-01,6288244851,Cà phê hạt Carraro Globo Rosso - Nhập khẩu từ Ý - Vị đậm đà từ quả phỉ và vị sô cô la dịu nhẹ,4. Carraro bean,Carraro,4,8,0,0,0,Cà phê hạt Carraro Globo Rosso - Nhập khẩu từ Ý - Vị đậm đà từ quả phỉ và vị sô cô la dịu nhẹ,Cà phê hạt Carraro Globo Rosso - Nhập khẩu từ Ý - Vị đậm đà từ quả phỉ và vị sô cô la dịu nhẹ,4. Carraro bean,Carraro,6288244851,7709,0,160,3,0,Cà phê hạt Carraro Globo Rosso - Nhập khẩu từ Ý - Vị đậm đà từ quả phỉ và vị sô cô la dịu nhẹ,0,0,0,2,2024,5,2,0,2,0,1,0,1
Shopee,2024-05-01,7188244655,"Cà phê hạt Carraro Globo Oro - Nhập khẩu từ Ý - Hương trái cây, vị phong phú, dịu dàng",4. Carraro bean,Carraro,1,3,0,0,0,"Cà phê hạt Carraro Globo Oro - Nhập khẩu từ Ý - Hương trái cây, vị phong phú, dịu dàng",,,,,,,,,,,0,0,0,0,2024,5,2,0,2,0,1,0,1
Shopee,2024-05-01,8452337712,"Combo 3 Hộp Giấy Lọc Cà Phê Melitta 100-Nhập khẩu 100% từ thương hiệu Melitta, Đức",6. Other Melitta products,Melitta,2,4,0,0,0,"Combo 3 Hộp Giấy Lọc Cà Phê Melitta 100-Nhập khẩu 100% từ thương hiệu Melitta, Đức",,,,,,,,,,,0,0,0,0,2024,5,2,0,2,0,1,0,1
Shopee,2024-05-01,8452343592,"Ly cách nhiệt Melitta 250 ml - Nhập khẩu chính hãng 100% từ thương hiệu Melitta, Đức",6. Other Melitta products,Melitta,2,2,1,1,136400,"Ly cách nhiệt Melitta 250 ml - Nhập khẩu chính hãng 100% từ thương hiệu Melitta, Đức",,,,,,,,,,,136400,0,1,0,2024,5,2,0,2,0,1,0,1
Shopee,2024-05-01,8596854711,"Viên rửa vệ sinh máy pha cà phê Melitta - Perfect Clean espresso machine - Nhập khẩu chính hãng 100% từ Melitta, Đức",6. Other Melitta products,Melitta,1,1,0,0,0,Viên rửa vệ sinh máy pha cà phê Melitta - Perfect Clean espresso machine - Nhập khẩu chính hãng 100% t,,,,,,,,,,,0,0,0,0,2024,5,2,0,2,0,1,0,1
Shopee,2024-05-01,8652313405,Cà phê hạt Carraro Globo Arabica - Nhập khẩu từ Ý - Hương hoa nhài và cánh hoa hồng nồng nàn,4. Carraro bean,Carraro,1,1,0,0,0,Cà phê hạt Carraro Globo Arabica - Nhập khẩu từ Ý - Hương hoa nhài và cánh hoa hồng nồng nàn,,,,,,,,,,,0,0,0,0,2024,5,2,0,2,0,1,0,1
Shopee,2024-05-01,9952342927,Bộ phin lọc nhựa cà phê Melitta 1x2 Premium Clear + 02 hộp Giấy lọc Melitta 1x2,6. Other Melitta products,Melitta,3,5,0,0,0,Bộ phin lọc nhựa cà phê Melitta 1x2 Premium Clear + 02 hộp Giấy lọc Melitta 1x2,,,,,,,,,,,0,0,0,1,2024,5,2,0,2,0,1,0,1
Shopee,2024-05-01,10568187216,"Combo 03kg cà phê hạt Carraro (Rosso, Oro, Arabica) Mix hoặc cùng loại - Nhập khẩu từ Ý",4. Carraro bean,Carraro,5,8,0,0,0,"Combo 03kg cà phê hạt Carraro (Rosso, Oro, Arabica) Mix hoặc cùng loại - Nhập khẩu từ Ý","Combo 03kg cà phê hạt Carraro (Rosso, Oro, Arabica) Mix hoặc cùng loại - Nhập khẩu từ Ý",4. Carraro bean,Carraro,10568187216,6466,0,79,2,0,"Combo 03kg cà phê hạt Carraro (Rosso, Oro, Arabica) Mix hoặc cùng loại - Nhập khẩu từ Ý",0,0,0,1,2024,5,2,0,2,0,1,0,1
Shopee,2024-05-01,10868192504,"Combo 06 Gói Cà phê hạt Carraro Globo Rosso, Oro, Arabica, Marrone, Qualità Oro - Nhập khẩu từ Ý",4. Carraro bean,Carraro,4,5,0,0,0,"Combo 06 Gói Cà phê hạt Carraro Globo Rosso, Oro, Arabica, Marrone, Qualità Oro - Nhập khẩu từ Ý","Combo 06 Gói Cà phê hạt Carraro Globo Rosso, Oro, Arabica, Marrone, Qualità Oro - Nhập khẩu từ Ý",4. Carraro bean,Carraro,10868192504,5672,0,41,2,0,"Combo 06 Gói Cà phê hạt Carraro Globo Rosso, Oro, Arabica, Marrone, Qualità Oro - Nhập khẩu từ Ý",0,0,1,1,2024,5,2,0,2,0,1,0,1
Shopee,2024-05-01,10903888826,"Đường Ăn Kiêng Sweetener Huxol Cỏ Ngọt Stevia 300v-Nhập khẩu từ Đức-Dành cho người tiểu đường, giảm cân",17. Huxol,Huxol,7,13,0,0,0,"Đường Ăn Kiêng Sweetener Huxol Cỏ Ngọt Stevia 300v-Nhập khẩu từ Đức-Dành cho người tiểu đường, giảm câ","Đường Ăn Kiêng Sweetener Huxol Cỏ Ngọt Stevia 300v-Nhập khẩu từ Đức-Dành cho người tiểu đường, giảm cân",17. Huxol,Huxol,10903888826,3452,0,205,7,0,"Đường Ăn Kiêng Sweetener Huxol Cỏ Ngọt Stevia 300v-Nhập khẩu từ Đức-Dành cho người tiểu đường, giảm câ",0,0,1,4,2024,5,2,0,2,0,1,0,1
Shopee,2024-05-01,11202348515,"Combo GIấy Lọc Cà Phê Melitta 1x2- Nhập khẩu chính hãng 100% từ thương hiệu Melitta, Đức",6. Other Melitta products,Melitta,1,1,0,0,0,"Combo GIấy Lọc Cà Phê Melitta 1x2- Nhập khẩu chính hãng 100% từ thương hiệu Melitta, Đức",,,,,,,,,,,0,0,0,0,2024,5,2,0,2,0,1,0,1
Shopee,2024-05-01,11594471132,Máy xay cà phê mini Scala Zero Static - Thương Hiệu Solis (Thụy Sĩ),12. Other Solis products,Solis,1,1,0,0,0,Máy xay cà phê mini Scala Zero Static - Thương Hiệu Solis (Thụy Sĩ),,,,,,,,,,,0,0,0,0,2024,5,2,0,2,0,1,0,1
